"altdorf.freifunk.net"
"bent.freifunk.net"
"bot.freifunk.net"
"bremen.freifunk.net"
"darmstadt.freifunk.net"
"darmstadt.freifunk.net (5GHz)"
"ehingen.freifunk.net"
"entenhausen.freifunk.net"
"ffwp Testnetz"
"flensburg.freifunk.net"
"Freifunk"
"Freifunk (5GHz)"
"Freifunk Erfurt"
"Freifunk-Euskirchen.de"
"freifunk-fulda.de"
"Freifunk-Hennef"
"freifunk-hi.de"
"freifunk-hi.de_5ghz"
"freifunk-myk.de"
"freifunk-nrw.de"
"Freifunk-Wuppertal(2GHz)"
"Freifunk-Wuppertal(5GHz)"
"fulda.freifunk.net"
"fulda.freifunk.net5ghz"
"greifswald.freifunk.net"
"gronau.freifunk.net"
"guetersloh.freifunk.net"
"hw.freifunk.net"
"karlsruhe.freifunk.net"
"kbu.freifunk.net"
"lev.freifunk.net"
"lingen.freifunk.net"
"luebeck.freifunk.net"
"luebeck.freifunk.net (5GHz)"
"lueneburg.freifunk.net"
"lueneburg.freifunk.net (5GHz)"
"Maxnet Mesh - Access Point"
"muenchen.freifunk.net"
"muenster.freifunk.net"
"nord.freifunk.net"
"osnabrueck.freifunk.net"
"regensburg.freifunk.net"
"rheda-wd.freifunk.net"
"rothenburg.freifunk.net"
"rs.freifunk.net"
"saar.freifunk.net"
"sg.freifunk.net"
"straelen.freifunk.net"
"stuttgart.freifunk.net"
"trier.freifunk.net"
"uelzen.freifunk.net"
"uelzen.freifunk.net (5GHz)"
"westpfalz.freifunk.net"
"westpfalz.freifunk.net 5GHz"
"wipp.freifunk.net"
"wk.freifunk.net"
